id,code,name,city,state,country
1,IAO,"Siargao - Sayak Airport","Surigao del Norte",,Phillipines
2,AML,"Puerto Armuellas Airport","Puerto Armuellas",,Panama
3,AZG,"Pablo L. Sidar Airport",Apatzingán,Michoacán,Mexico
4,BKC,"Buckland Airport",Buckland,Alaska,"United States"
5,BVE,"Brive – Souillac Airport",Brive-la-Gaillarde,,France
6,CGY,"Laguindingan International Airport","Cagayan de Oro City",,Philippines
7,CSY,"Cheboksary Airport",Cheboksary,Chuvashia,Russia
8,DLL,"Dillon County Airport",Dillon,"South Carolina","United States"
9,ELO,"Eldorado Airport",Eldorado,Misiones,Argentina
10,GLM,"Glenormiston Airport",Glenormiston,Queensland,Australia
11,HEI,"Heide-Büsum Airport",Heide,Schleswig-Holstein,Germany
12,IAR,"Yaroslavl Airport",Yaroslavl,,Russia
13,JAI,"Jaipur Airport (Sanganer Airport)","Jaipur / Sanganer",,India
14,KCG,"Chignik Fisheries Airport (closed)",Chignik,Alaska,"United States"
15,KOR,"Kokoro Airport",Kokoro,,"Papua New Guinea"
16,LCS,"Las Canas Airport","Las Canas",,"Costa Rica"
17,LRJ,"Le Mars Municipal Airport","Le Mars",Iowa,"United States"
18,MEP,"Mersing Airport",Johor,,Malaysia
19,MPP,"Mulatupo Airport",Mulatupo,,Panamá
20,NBG,"NAS JRB New Orleans (Alvin Callender Field)","New Orleans",Louisiana,"United States"
21,ONA,"Winona Municipal Airport (Max Conrad Field)",Winona,Minnesota,"United States"
22,PMY,"El Tehuelche Airport","Puerto Madryn",,Argentina
23,RCQ,"Reconquista Airport",Reconquista,"Santa Fe",Argentina
24,SFE,"San Fernando Airport","San Fernando City","La UNION",Philippines
25,SUX,"Sioux Gateway Airport (Colonel Bud Day Field)","Sioux City",Iowa,"United States"
26,TPA,"Tampa International Airport",Tampa,Florida,"United States"
27,VHN,"Culberson County Airport","Van Horn",Texas,"United States"
28,XKL,"KL City Air Terminal","Kuala Lumpur",,Malaysia
29,YLJ,"Meadow Lake Airport","Meadow Lake",Saskatchewan,Canada
30,YZT,"Port Hardy Airport","Port Hardy","British Columbia",Canada
31,ZVE,"Union Station","New Haven",Connecticut,"United States"
32,AAA,"Anaa Airport",Anaa,Tuamotus,"French Polynesia"
33,AMM,"Queen Alia International Airport",Amman,,Jordan
34,AZI,"Bateen Airport","Abu Dhabi",,"United Arab Emirates"
35,BKD,"Stephens County Airport",Breckenridge,Texas,"United States"
36,BVF,"Dama Airport",Bua,,Fiji
37,CGZ,"Casa Grande Municipal Airport","Casa Grande",Arizona,"United States"
38,CSZ,"Brigadier Hector Eduardo Ruiz Airport","Coronel Suárez","Buenos Aires",Argentina
39,DLM,"Dalaman Airport",Mu?la,,Turkey
40,ELP,"El Paso International Airport","El Paso",Texas,"United States"
41,FMC,"Five Mile Airport","Five Mile",Alaska,"United States"
42,GLN,"Goulimime Airport",Goulimime,,Morocco
43,HEK,"Heihe Airport",Heihe,Heilongjiang,China
44,IAS,"Ia?i International Airport",Ia?i,,Romania
45,JAK,"Jacmel Airport",Jacmel,,Haiti
46,KCH,"Kuching International Airport",Kuching,Sarawak,Malaysia
47,KOS,"Sihanoukville Airport (Kompong Som)",Sihanoukville,,Cambodia
48,LCV,"Tassignano Airport",Lucca,,Italy
